               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.016364,           0.0073303,           0.0010935,             0.86494,             0.92812,             0.94679,             0.68811,            0.018382,           0.0040542,          0.00088355,            0.002773,            0.002773,            0.002773
                  75,            0.015503,           0.0072753,          0.00089445,             0.87116,             0.93612,             0.93998,             0.68532,            0.018154,           0.0041136,          0.00079476,            0.002674,            0.002674,            0.002674
                  76,            0.014678,           0.0072695,           0.0012693,              0.8542,             0.94891,             0.93528,             0.69372,             0.01798,           0.0041094,          0.00079309,            0.002575,            0.002575,            0.002575
                  77,            0.014549,           0.0073753,          0.00084018,             0.88375,             0.93698,             0.94707,             0.68985,            0.018339,           0.0040444,          0.00087794,            0.002476,            0.002476,            0.002476
                  78,            0.014031,            0.007086,           0.0009827,             0.86786,             0.94002,              0.9445,             0.68786,            0.018448,           0.0039869,          0.00097379,            0.002377,            0.002377,            0.002377
                  79,            0.013997,           0.0070626,           0.0012056,             0.88713,             0.94278,             0.94354,             0.69324,             0.01773,           0.0039311,          0.00063588,            0.002278,            0.002278,            0.002278
                  80,            0.014571,            0.007173,           0.0011784,             0.87085,             0.92056,             0.93566,             0.68344,            0.019122,           0.0041401,          0.00083203,            0.002179,            0.002179,            0.002179
                  81,             0.01526,           0.0071762,          0.00079998,             0.85759,              0.9497,             0.95087,             0.70438,            0.018284,           0.0040198,          0.00085903,             0.00208,             0.00208,             0.00208
                  82,             0.01521,           0.0070028,          0.00076588,             0.87385,             0.95408,              0.9432,             0.70249,            0.018587,           0.0041055,          0.00075624,            0.001981,            0.001981,            0.001981
                  83,            0.013606,           0.0068799,           0.0006659,             0.89844,             0.92675,             0.95649,             0.71052,            0.018729,           0.0039941,          0.00075542,            0.001882,            0.001882,            0.001882
                  84,            0.015348,           0.0070806,           0.0014177,             0.87546,             0.95152,             0.95506,             0.71026,            0.019163,           0.0039891,           0.0010282,            0.001783,            0.001783,            0.001783
                  85,            0.013616,           0.0069031,          0.00067732,              0.8832,             0.93599,             0.95099,               0.689,            0.019408,           0.0041118,          0.00075642,            0.001684,            0.001684,            0.001684
                  86,            0.014523,           0.0069064,          0.00090969,              0.8905,             0.94863,             0.94351,             0.68349,            0.019044,           0.0040462,           0.0008053,            0.001585,            0.001585,            0.001585
                  87,             0.01402,           0.0068326,          0.00092282,             0.88634,             0.93187,             0.94301,              0.6819,            0.018941,           0.0039638,          0.00083592,            0.001486,            0.001486,            0.001486
                  88,             0.01345,            0.006828,           0.0009472,             0.89619,             0.91225,              0.9478,             0.69908,            0.018437,           0.0039227,          0.00089591,            0.001387,            0.001387,            0.001387
                  89,            0.013576,           0.0067372,          0.00066801,              0.8887,             0.94453,             0.94822,             0.69094,            0.018838,            0.003986,           0.0011096,            0.001288,            0.001288,            0.001288
                  90,             0.01324,           0.0066405,          0.00085757,             0.89363,             0.94014,             0.94798,             0.70779,            0.018437,           0.0039179,            0.001039,            0.001189,            0.001189,            0.001189
                  91,            0.014166,           0.0066499,          0.00056232,             0.90592,             0.92747,             0.95154,             0.70442,            0.018356,           0.0038923,          0.00080378,             0.00109,             0.00109,             0.00109
                  92,            0.014051,           0.0066929,          0.00038958,             0.89597,             0.93207,             0.94808,             0.69747,            0.019053,           0.0039548,          0.00078525,            0.000991,            0.000991,            0.000991
                  93,             0.01275,           0.0067278,          0.00058058,             0.89832,             0.93653,             0.95759,             0.70746,            0.018675,           0.0038441,          0.00088335,            0.000892,            0.000892,            0.000892
                  94,            0.012794,            0.006652,          0.00051417,             0.88937,             0.93582,             0.95768,             0.71304,            0.018785,           0.0039077,            0.001155,            0.000793,            0.000793,            0.000793
                  95,            0.011731,           0.0063116,          0.00052452,             0.90104,             0.93267,             0.94339,             0.69476,            0.018703,           0.0039884,           0.0013142,            0.000694,            0.000694,            0.000694
                  96,            0.012676,           0.0064958,          0.00057319,             0.90099,             0.94036,             0.94979,             0.70209,             0.01811,            0.003954,          0.00099073,            0.000595,            0.000595,            0.000595
                  97,            0.011376,            0.006541,          0.00037262,             0.90926,             0.92354,             0.95133,              0.7115,            0.017914,           0.0038819,          0.00096176,            0.000496,            0.000496,            0.000496
                  98,            0.011823,           0.0064102,          0.00060001,             0.89708,             0.94375,             0.95107,             0.71155,            0.017802,           0.0038722,           0.0008981,            0.000397,            0.000397,            0.000397
                  99,            0.012279,           0.0065155,          0.00041625,             0.90607,             0.92372,             0.95067,             0.71465,            0.018083,            0.003841,          0.00092384,            0.000298,            0.000298,            0.000298
