               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.017755,           0.0067377,            0.015348,              0.8024,             0.77094,             0.83497,             0.47725,            0.020199,           0.0049323,            0.014724,            0.002971,            0.002971,            0.002971
                  73,            0.016914,           0.0065446,            0.014093,             0.79946,             0.71944,             0.78528,             0.37814,            0.022332,            0.006082,            0.017126,            0.002872,            0.002872,            0.002872
                  74,            0.016446,           0.0068393,            0.012542,              0.8791,             0.76534,             0.89549,             0.52088,            0.020225,           0.0051843,           0.0070319,            0.002773,            0.002773,            0.002773
                  75,            0.016755,           0.0064345,            0.013007,             0.78293,             0.78669,             0.85457,             0.46458,            0.021351,           0.0055129,             0.01058,            0.002674,            0.002674,            0.002674
                  76,            0.016508,           0.0067775,            0.011673,             0.84373,             0.84882,             0.88745,             0.46155,            0.020832,           0.0050539,            0.011207,            0.002575,            0.002575,            0.002575
                  77,            0.016274,           0.0065072,            0.012765,             0.85606,             0.82292,             0.88055,              0.4501,            0.021845,           0.0051442,           0.0097579,            0.002476,            0.002476,            0.002476
                  78,            0.016097,           0.0065466,            0.011925,             0.87069,             0.76198,             0.85375,             0.45449,            0.021622,           0.0052045,            0.014644,            0.002377,            0.002377,            0.002377
                  79,            0.016127,           0.0066698,            0.012747,             0.82473,             0.80765,             0.88171,             0.47877,            0.022013,           0.0053437,            0.013581,            0.002278,            0.002278,            0.002278
                  80,            0.015411,           0.0065183,            0.012015,             0.84016,             0.78863,             0.86142,             0.46107,            0.022124,           0.0051466,            0.010062,            0.002179,            0.002179,            0.002179
                  81,            0.015361,           0.0064634,            0.011301,             0.85197,             0.81769,             0.88708,             0.49771,            0.020915,           0.0051306,            0.010125,             0.00208,             0.00208,             0.00208
                  82,            0.015662,           0.0063263,            0.010289,             0.89017,             0.83003,             0.89206,             0.48907,            0.022071,           0.0051771,           0.0077849,            0.001981,            0.001981,            0.001981
                  83,            0.015988,           0.0064964,            0.012283,             0.86416,             0.84797,             0.89483,              0.4891,             0.02119,           0.0050806,            0.007676,            0.001882,            0.001882,            0.001882
                  84,            0.015395,           0.0060657,            0.013538,             0.89098,             0.78221,             0.90391,             0.47768,            0.020863,           0.0049897,           0.0084763,            0.001783,            0.001783,            0.001783
                  85,            0.013428,           0.0060684,            0.010792,             0.85253,             0.80248,             0.85889,             0.44852,            0.021453,           0.0052239,             0.01491,            0.001684,            0.001684,            0.001684
                  86,            0.013683,           0.0062754,            0.010568,               0.826,             0.83232,             0.87144,             0.46433,            0.020914,           0.0051568,            0.010109,            0.001585,            0.001585,            0.001585
                  87,            0.013517,           0.0062195,            0.011381,             0.84037,             0.78077,             0.85289,             0.44346,            0.021567,           0.0049697,            0.010782,            0.001486,            0.001486,            0.001486
                  88,            0.015407,           0.0064687,            0.011018,             0.86148,             0.81171,               0.874,             0.47302,            0.021273,           0.0049205,           0.0082597,            0.001387,            0.001387,            0.001387
                  89,            0.015089,           0.0060928,            0.011791,             0.85542,             0.87296,             0.89885,             0.51032,            0.019525,            0.005033,           0.0091792,            0.001288,            0.001288,            0.001288
                  90,            0.014291,           0.0062676,            0.011184,             0.90267,              0.8341,             0.89317,              0.4961,            0.020923,           0.0049784,             0.01186,            0.001189,            0.001189,            0.001189
                  91,            0.013969,            0.005967,            0.011093,             0.90431,             0.80614,              0.8945,             0.51014,            0.019621,           0.0050058,           0.0086435,             0.00109,             0.00109,             0.00109
                  92,            0.013266,           0.0059672,            0.010152,             0.88596,             0.84256,             0.89204,              0.4883,            0.020279,           0.0050068,           0.0078984,            0.000991,            0.000991,            0.000991
                  93,            0.014293,           0.0058549,            0.010819,             0.89039,             0.81889,             0.88369,             0.50355,            0.019797,           0.0049865,           0.0092115,            0.000892,            0.000892,            0.000892
                  94,            0.012668,           0.0059007,           0.0094206,             0.88735,             0.81374,             0.89561,              0.5024,            0.020136,            0.004859,           0.0099984,            0.000793,            0.000793,            0.000793
                  95,             0.01364,           0.0059086,            0.010334,             0.89562,             0.82193,             0.89546,             0.49451,             0.02089,           0.0047849,           0.0096176,            0.000694,            0.000694,            0.000694
                  96,            0.013048,           0.0060667,           0.0094302,             0.87944,              0.8272,             0.89441,             0.50289,             0.01979,           0.0049011,            0.010404,            0.000595,            0.000595,            0.000595
                  97,            0.012723,           0.0059305,           0.0086754,             0.89455,              0.8322,             0.90026,             0.50323,            0.019519,           0.0048421,            0.010397,            0.000496,            0.000496,            0.000496
                  98,              0.0133,           0.0056747,           0.0088933,             0.89737,             0.83037,             0.90031,             0.52049,            0.019118,           0.0047612,            0.011608,            0.000397,            0.000397,            0.000397
                  99,            0.013294,           0.0058884,           0.0096942,             0.89154,             0.84774,             0.89403,             0.50925,            0.019481,           0.0048733,             0.01151,            0.000298,            0.000298,            0.000298
